dataset,repeat,canonical_ef,build_ms,resident_build_ms,lavd_build_fetch,lavd_build_parse,lavd_build_rank,lavd_build_encode,lavd_build_metadata,lavd_build_materialize,registered_bytes,materialized_bytes,actual_write_bytes,offset_table_bytes,record_bytes,source_json,source_json_sha256,source_stderr,source_stderr_sha256,source_frontier_csv,source_frontier_csv_sha256
DEEP10M,1,48,273967.920541,2157.253629,9349.79574,1217.661483,3.5e-05,39.973563,569.2933489999999,262766.465324,42949672960,37865050024,37865050024,80000008,37785033632,raw/DEEP10M/r1/measurement.json,30d46b13e5d1205c17179f82b4145255236a3e8d89481211a5ea061197748feb,raw/DEEP10M/r1/measurement.err,7fdb4fc1e62496d841167b531d53d89d7e02b3ef4c5574e706d6e44105be7c2a,raw/DEEP10M/r1/frontier.csv,f6e986dec2a93b09427dbef18182c38003b180a5437bf8643a448a7b381456fd
DEEP10M,2,48,284511.277844,2198.303785,9389.252996,1221.405811,3.4e-05,40.178913,567.422953,273268.407018,42949672960,37865050024,37865050024,80000008,37785033632,raw/DEEP10M/r2/measurement.json,3a81a99f6de6d63f70a1095f75c812acafb50fb038029d8b8dcf6a0210166fe4,raw/DEEP10M/r2/measurement.err,7ae387b8d1cfe803206184f26ee7522dc6e1cc791f93a3cf21badbf353c6a9b4,raw/DEEP10M/r2/frontier.csv,8096fe6c23fcb7110ac5ef8ec8cd739bae7eae9d9608f65259484e7223f3ef3a
DEEP10M,3,48,277158.276166,2144.199511,9377.429053,1220.2697,3.6e-05,39.990494999999996,569.061512,265927.222082,42949672960,37865050024,37865050024,80000008,37785033632,raw/DEEP10M/r3/measurement.json,d56a0e10cffd249e91865671d4aa934bd1c37fbc6e9906d1fff36a59d9b3579a,raw/DEEP10M/r3/measurement.err,f15dbc9a48a7d423a0d279722c97074a58a8af161cba72668f8227d5aa8c62f6,raw/DEEP10M/r3/frontier.csv,daf5eae35fa821859c872ad88ccc07536a661f601107bbfd10181b391e0cf90a
DEEP10M,4,48,279752.092308,2155.493032,9318.33648,1208.872593,3.5e-05,39.833683,557.867854,268603.528416,42949672960,37865050024,37865050024,80000008,37785033632,raw/DEEP10M/r4/measurement.json,a0341b98517c82e7b3722e75cd99c8eb09290abf5f243ac84ff7b5a319b22898,raw/DEEP10M/r4/measurement.err,b3586a032c0029e588ce56179e98e682dc3adc2fc68e0aa342086d4b12d62078,raw/DEEP10M/r4/frontier.csv,6043db046ca6bbdd0175ac06af08055233d8a9f436d5a1b44faf158a7a48222e
DEEP10M,5,48,276623.213589,2139.158799,9362.984507,1207.628078,4.6e-05,40.017502,561.566544,265426.831506,42949672960,37865050024,37865050024,80000008,37785033632,raw/DEEP10M/r5/measurement.json,816430c94b31bc0376dcdbf51d81b132cd6c3c86f0b831d1021d644549043168,raw/DEEP10M/r5/measurement.err,a2931b10a0728d6fcee846cf6b9e9d13fbe3353e18be505aaeb488c4adcea05d,raw/DEEP10M/r5/frontier.csv,3e6982b0508efff070e1c8aaafca3c4937c80b4166b7c280b522ac08d61e6568
SIFT10M,1,64,247246.034523,3628.431196,9780.990069,1366.1080769999999,3.5e-05,54.227436,589.140732,235431.307164,42949672960,31028000248,31028000248,80000008,30947983856,raw/SIFT10M/r1/measurement.json,0806b8e0b40f17e07f38050096046c980b0d7a1764962d0794f964f3309a2fae,raw/SIFT10M/r1/measurement.err,373de10fa923d6d316a0168b080d8277cebf6c099f9b082c2a45740b1390728f,raw/SIFT10M/r1/frontier.csv,13b494043e8f1b6bfd04aab3a32d68d954a3a743bb4c4c8e449ac69e60743c35
SIFT10M,2,64,246681.28292,3610.704417,9712.558257,1362.084725,3.2999999999999996e-05,53.551215,582.990737,234946.707914,42949672960,31028000248,31028000248,80000008,30947983856,raw/SIFT10M/r2/measurement.json,7913a4af4ebb7aa5b6b957b28253979f638727ced978097f05ac267af691a9ad,raw/SIFT10M/r2/measurement.err,e93967c024b19efd6113d6c8fe41d3e8d841c766c0612a183f39cc9fce578ae0,raw/SIFT10M/r2/frontier.csv,679f3bd778605e5a43716500fb4e4688d7a1fd78a197ba0c3b4417aeefca396e
SIFT10M,3,64,246947.836842,3659.327765,9768.36515,1361.6396770000001,3.2999999999999996e-05,53.478840999999996,580.122163,235160.373802,42949672960,31028000248,31028000248,80000008,30947983856,raw/SIFT10M/r3/measurement.json,210ba2f24e040a624f01aec8790d89b50f6e33856588e52c3b7ebac5d45a9435,raw/SIFT10M/r3/measurement.err,4180226a982f57e71f0f154f3bea717c882c33402fe692787c1a9ebe1f1cecb9,raw/SIFT10M/r3/frontier.csv,7871b08f8eee97f8b34db96c0b0e967c8d33d58055f5a5ff1912101b81749f02
SIFT10M,4,64,247534.092208,3610.344811,9802.393472,1364.108168,3.7e-05,55.166512999999995,588.610949,235699.074689,42949672960,31028000248,31028000248,80000008,30947983856,raw/SIFT10M/r4/measurement.json,f79d3662c66758a4af0d9d33c16ab56f2ce6154c7c481d9931b0c0fbb0f8ac46,raw/SIFT10M/r4/measurement.err,4b7080307cc4f61b47895ecba7c2fa45dbd6b5db1109bfc7ee9ba5063590d0c0,raw/SIFT10M/r4/frontier.csv,5f997170dbc75c3ffb4384856eaf44c2603524464ab3b5f9b6eeed296a230b6c
SIFT10M,5,64,247511.04332,3639.386701,9754.034297,1360.84418,3.5e-05,53.729504,585.7804679999999,235732.616103,42949672960,31028000248,31028000248,80000008,30947983856,raw/SIFT10M/r5/measurement.json,c7622ad950ddf0adae3fa6ef162c162bf74c1537e5f2106e5ed87db8e728ff9b,raw/SIFT10M/r5/measurement.err,b078d27ad72823535232bf4823803068e7c3449da57a89522c9a2b233948450c,raw/SIFT10M/r5/frontier.csv,bf71625fe6aff5b660379524c5292bac1aa9dcfc8ba010a66d6501f5e19354ff
TTI10M,1,100,289658.454973,4258.8887429999995,13239.121561,1488.990738,3.2e-05,79.913603,665.155701,274161.282379,42949672960,42041300752,42041300752,80000008,41961284360,raw/TTI10M/r1/measurement.json,c1fabd732bb914faaa9f5e5593e22aee426e7805e317948610e1566263e65c80,raw/TTI10M/r1/measurement.err,deb7d0d12d374294d99a5e732942bc79f7dc90fe016aa328b4908103011a59b6,raw/TTI10M/r1/frontier.csv,13b494043e8f1b6bfd04aab3a32d68d954a3a743bb4c4c8e449ac69e60743c35
TTI10M,2,100,290798.446134,4277.737393,13267.416462,1493.759936,3.7999999999999995e-05,79.99986799999999,668.658197,275265.137458,42949672960,42041300752,42041300752,80000008,41961284360,raw/TTI10M/r2/measurement.json,66995344eaa13d1a407e0473b3ca564fe528360e96f5494eb1a7cd5b6d494e61,raw/TTI10M/r2/measurement.err,b2e14b42c0f5acc1120d2dc7acd2bda9908593d03fa7dcac67fca1b32d7877e3,raw/TTI10M/r2/frontier.csv,679f3bd778605e5a43716500fb4e4688d7a1fd78a197ba0c3b4417aeefca396e
TTI10M,3,100,290476.600753,4235.521426,13289.691643,1493.409804,4.7e-05,81.38497199999999,669.943058,274918.21877,42949672960,42041300752,42041300752,80000008,41961284360,raw/TTI10M/r3/measurement.json,73c238606f5e045025b283364fb639e72197d7430d1d38c5a4a977efb709ae8d,raw/TTI10M/r3/measurement.err,4e291c342c4e4500e07250eaf9f02dc1230082e456b4dfe5ecbb033c9479f8b3,raw/TTI10M/r3/frontier.csv,7871b08f8eee97f8b34db96c0b0e967c8d33d58055f5a5ff1912101b81749f02
TTI10M,4,100,288902.305099,4257.818312,13287.354467,1504.859261,3.2999999999999996e-05,80.370122,665.1435859999999,273339.627655,42949672960,42041300752,42041300752,80000008,41961284360,raw/TTI10M/r4/measurement.json,03dbdfda9277e0db8ed4bd099df64a65c6bd3e52a5c257daabdec607d184df6a,raw/TTI10M/r4/measurement.err,1fdb23185f208e4649ea279180b070a462eee0ce7d676e9e3541700eac8b2be9,raw/TTI10M/r4/frontier.csv,5f997170dbc75c3ffb4384856eaf44c2603524464ab3b5f9b6eeed296a230b6c
TTI10M,5,100,290486.077995,4303.234764,13278.107724,1507.146264,3.7e-05,81.46001199999999,678.26703,274916.894682,42949672960,42041300752,42041300752,80000008,41961284360,raw/TTI10M/r5/measurement.json,91104ae340f7900909efd79fba5a6343b7945e5f237c05fc302b6bf800627f07,raw/TTI10M/r5/measurement.err,1438c6417dedbb54ce09adc53d73d2246ae31c8d592983d1fa6012a5313fe23e,raw/TTI10M/r5/frontier.csv,bf71625fe6aff5b660379524c5292bac1aa9dcfc8ba010a66d6501f5e19354ff
