dataset,layout,memory_nodes,repeat,mn,descriptor_version,policy,record_layout,scoring_code,scoring_bits,local_slots,registered_bytes,materialized_bytes,actual_write_bytes,header_bytes,budget_map_bytes,placement_padding_bytes,offset_table_bytes,record_bytes,query_read_bytes,query_read_wrs,query_read_submits,mn_peak_rss_kib
gist1m,fixed,1,0,0,2,block_cyclic,fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646816
gist1m,fixed,1,1,0,2,block_cyclic,fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646820
gist1m,fixed,1,2,0,2,block_cyclic,fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646964
gist1m,fixed,1,3,0,2,block_cyclic,fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646928
gist1m,fixed,1,4,0,2,block_cyclic,fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13647056
gist1m,fixed,3,0,0,2,block_cyclic,fixed,rabitq,2,333334,3221225472,2818688688,2818688688,16384,0,0,0,2818672304,13841329360,1998560,1343670,7355152
gist1m,fixed,3,0,1,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13872668160,2003860,1346040,7355340
gist1m,fixed,3,0,2,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13877545440,2003240,1347620,7355644
gist1m,fixed,3,1,0,2,block_cyclic,fixed,rabitq,2,333334,3221225472,2818688688,2818688688,16384,0,0,0,2818672304,13841329360,1998560,1343670,7355196
gist1m,fixed,3,1,1,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13872668160,2003860,1346040,7355500
gist1m,fixed,3,1,2,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13877545440,2003240,1347620,7355480
gist1m,fixed,3,2,0,2,block_cyclic,fixed,rabitq,2,333334,3221225472,2818688688,2818688688,16384,0,0,0,2818672304,13841329360,1998560,1343670,7355180
gist1m,fixed,3,2,1,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13872668160,2003860,1346040,7355520
gist1m,fixed,3,2,2,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13877545440,2003240,1347620,7355608
gist1m,fixed,3,3,0,2,block_cyclic,fixed,rabitq,2,333334,3221225472,2818688688,2818688688,16384,0,0,0,2818672304,13841329360,1998560,1343670,7355424
gist1m,fixed,3,3,1,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13872668160,2003860,1346040,7355404
gist1m,fixed,3,3,2,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13877545440,2003240,1347620,7355528
gist1m,fixed,3,4,0,2,block_cyclic,fixed,rabitq,2,333334,3221225472,2818688688,2818688688,16384,0,0,0,2818672304,13841329360,1998560,1343670,7355388
gist1m,fixed,3,4,1,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13872668160,2003860,1346040,7355596
gist1m,fixed,3,4,2,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13877545440,2003240,1347620,7355552
gist1m,fixed,5,0,0,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8384140240,1210040,818310,6306840
gist1m,fixed,5,0,1,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8208620960,1185410,800800,6306944
gist1m,fixed,5,0,2,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8324722960,1202910,811370,6307004
gist1m,fixed,5,0,3,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8346657840,1205640,813850,6306772
gist1m,fixed,5,0,4,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8327400960,1201660,813000,6306776
gist1m,fixed,5,1,0,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8384140240,1210040,818310,6307044
gist1m,fixed,5,1,1,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8208620960,1185410,800800,6306852
gist1m,fixed,5,1,2,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8324722960,1202910,811370,6306964
gist1m,fixed,5,1,3,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8346657840,1205640,813850,6306792
gist1m,fixed,5,1,4,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8327400960,1201660,813000,6306740
gist1m,fixed,5,2,0,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8384140240,1210040,818310,6306996
gist1m,fixed,5,2,1,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8208620960,1185410,800800,6306680
gist1m,fixed,5,2,2,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8324722960,1202910,811370,6306980
gist1m,fixed,5,2,3,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8346657840,1205640,813850,6306800
gist1m,fixed,5,2,4,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8327400960,1201660,813000,6306872
gist1m,fixed,5,3,0,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8384140240,1210040,818310,6306880
gist1m,fixed,5,3,1,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8208620960,1185410,800800,6306780
gist1m,fixed,5,3,2,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8324722960,1202910,811370,6307020
gist1m,fixed,5,3,3,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8346657840,1205640,813850,6307076
gist1m,fixed,5,3,4,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8327400960,1201660,813000,6306968
gist1m,fixed,5,4,0,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8384140240,1210040,818310,6306836
gist1m,fixed,5,4,1,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8208620960,1185410,800800,6306828
gist1m,fixed,5,4,2,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8324722960,1202910,811370,6306980
gist1m,fixed,5,4,3,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8346657840,1205640,813850,6306816
gist1m,fixed,5,4,4,2,block_cyclic,fixed,rabitq,2,200000,2147483648,1691216384,1691216384,16384,0,0,0,1691200000,8327400960,1201660,813000,6306812
gist1m,legacy,1,0,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646872
gist1m,legacy,1,1,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646868
gist1m,legacy,1,2,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646760
gist1m,legacy,1,3,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646888
gist1m,legacy,1,4,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646980
gist1m,legacy,3,0,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333334,9663676416,8456016384,2818688688,16384,0,5637327696,0,2818672304,13841329360,1998560,1343670,13646864
gist1m,legacy,3,0,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8455999472,2818663848,0,0,5637319240,0,2818663848,13872668160,2003860,1346040,13646700
gist1m,legacy,3,0,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8456007928,2818663848,0,0,5637327696,0,2818663848,13877545440,2003240,1347620,13646952
gist1m,legacy,3,1,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333334,9663676416,8456016384,2818688688,16384,0,5637327696,0,2818672304,13841329360,1998560,1343670,13646808
gist1m,legacy,3,1,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8455999472,2818663848,0,0,5637319240,0,2818663848,13872668160,2003860,1346040,13646724
gist1m,legacy,3,1,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8456007928,2818663848,0,0,5637327696,0,2818663848,13877545440,2003240,1347620,13646876
gist1m,legacy,3,2,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333334,9663676416,8456016384,2818688688,16384,0,5637327696,0,2818672304,13841329360,1998560,1343670,13647020
gist1m,legacy,3,2,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8455999472,2818663848,0,0,5637319240,0,2818663848,13872668160,2003860,1346040,13646948
gist1m,legacy,3,2,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8456007928,2818663848,0,0,5637327696,0,2818663848,13877545440,2003240,1347620,13646888
gist1m,legacy,3,3,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333334,9663676416,8456016384,2818688688,16384,0,5637327696,0,2818672304,13841329360,1998560,1343670,13646916
gist1m,legacy,3,3,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8455999472,2818663848,0,0,5637319240,0,2818663848,13872668160,2003860,1346040,13646812
gist1m,legacy,3,3,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8456007928,2818663848,0,0,5637327696,0,2818663848,13877545440,2003240,1347620,13647000
gist1m,legacy,3,4,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333334,9663676416,8456016384,2818688688,16384,0,5637327696,0,2818672304,13841329360,1998560,1343670,13646832
gist1m,legacy,3,4,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8455999472,2818663848,0,0,5637319240,0,2818663848,13872668160,2003860,1346040,13646812
gist1m,legacy,3,4,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,333333,9663676416,8456007928,2818663848,0,0,5637327696,0,2818663848,13877545440,2003240,1347620,13646812
gist1m,legacy,5,0,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455982560,1691216384,16384,0,6764766176,0,1691200000,8384140240,1210040,818310,13646944
gist1m,legacy,5,0,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455991016,1691200000,0,0,6764774632,0,1691200000,8208620960,1185410,800800,13646792
gist1m,legacy,5,0,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455999472,1691200000,0,0,6764783088,0,1691200000,8324722960,1202910,811370,13647004
gist1m,legacy,5,0,3,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8456007928,1691200000,0,0,6764791544,0,1691200000,8346657840,1205640,813850,13646692
gist1m,legacy,5,0,4,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8456016384,1691200000,0,0,6764800000,0,1691200000,8327400960,1201660,813000,13647028
gist1m,legacy,5,1,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455982560,1691216384,16384,0,6764766176,0,1691200000,8384140240,1210040,818310,13646716
gist1m,legacy,5,1,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455991016,1691200000,0,0,6764774632,0,1691200000,8208620960,1185410,800800,13646868
gist1m,legacy,5,1,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455999472,1691200000,0,0,6764783088,0,1691200000,8324722960,1202910,811370,13647020
gist1m,legacy,5,1,3,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8456007928,1691200000,0,0,6764791544,0,1691200000,8346657840,1205640,813850,13646904
gist1m,legacy,5,1,4,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8456016384,1691200000,0,0,6764800000,0,1691200000,8327400960,1201660,813000,13646976
gist1m,legacy,5,2,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455982560,1691216384,16384,0,6764766176,0,1691200000,8384140240,1210040,818310,13646788
gist1m,legacy,5,2,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455991016,1691200000,0,0,6764774632,0,1691200000,8208620960,1185410,800800,13646824
gist1m,legacy,5,2,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455999472,1691200000,0,0,6764783088,0,1691200000,8324722960,1202910,811370,13646916
gist1m,legacy,5,2,3,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8456007928,1691200000,0,0,6764791544,0,1691200000,8346657840,1205640,813850,13646700
gist1m,legacy,5,2,4,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8456016384,1691200000,0,0,6764800000,0,1691200000,8327400960,1201660,813000,13646756
gist1m,legacy,5,3,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455982560,1691216384,16384,0,6764766176,0,1691200000,8384140240,1210040,818310,13646856
gist1m,legacy,5,3,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455991016,1691200000,0,0,6764774632,0,1691200000,8208620960,1185410,800800,13646976
gist1m,legacy,5,3,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455999472,1691200000,0,0,6764783088,0,1691200000,8324722960,1202910,811370,13646948
gist1m,legacy,5,3,3,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8456007928,1691200000,0,0,6764791544,0,1691200000,8346657840,1205640,813850,13646980
gist1m,legacy,5,3,4,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8456016384,1691200000,0,0,6764800000,0,1691200000,8327400960,1201660,813000,13646772
gist1m,legacy,5,4,0,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455982560,1691216384,16384,0,6764766176,0,1691200000,8384140240,1210040,818310,13646680
gist1m,legacy,5,4,1,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455991016,1691200000,0,0,6764774632,0,1691200000,8208620960,1185410,800800,13647084
gist1m,legacy,5,4,2,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8455999472,1691200000,0,0,6764783088,0,1691200000,8324722960,1202910,811370,13646940
gist1m,legacy,5,4,3,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8456007928,1691200000,0,0,6764791544,0,1691200000,8346657840,1205640,813850,13646876
gist1m,legacy,5,4,4,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,200000,9663676416,8456016384,1691200000,0,0,6764800000,0,1691200000,8327400960,1201660,813000,13646932
gist1m,variable,1,0,0,2,block_cyclic,variable,rabitq,2,1000000,6442450944,2601827488,2601827488,16384,0,0,8000008,2593811096,29220056800,6005660,4017330,10501296
gist1m,variable,1,1,0,2,block_cyclic,variable,rabitq,2,1000000,6442450944,2601827488,2601827488,16384,0,0,8000008,2593811096,29220056800,6005660,4017330,10500968
gist1m,variable,1,2,0,2,block_cyclic,variable,rabitq,2,1000000,6442450944,2601827488,2601827488,16384,0,0,8000008,2593811096,29220056800,6005660,4017330,10501008
gist1m,variable,1,3,0,2,block_cyclic,variable,rabitq,2,1000000,6442450944,2601827488,2601827488,16384,0,0,8000008,2593811096,29220056800,6005660,4017330,10501280
gist1m,variable,1,4,0,2,block_cyclic,variable,rabitq,2,1000000,6442450944,2601827488,2601827488,16384,0,0,8000008,2593811096,29220056800,6005660,4017330,10500988
gist1m,variable,3,0,0,2,block_cyclic,variable,rabitq,2,333334,2147483648,866448304,866448304,16384,0,0,2666680,863765240,9731290240,1998560,1343670,6306976
gist1m,variable,3,0,1,2,block_cyclic,variable,rabitq,2,333333,2147483648,869027040,869027040,16384,0,0,2666672,866343984,9763722000,2003860,1346040,6306908
gist1m,variable,3,0,2,2,block_cyclic,variable,rabitq,2,333333,2147483648,866384928,866384928,16384,0,0,2666672,863701872,9725044560,2003240,1347620,6306992
gist1m,variable,3,1,0,2,block_cyclic,variable,rabitq,2,333334,2147483648,866448304,866448304,16384,0,0,2666680,863765240,9731290240,1998560,1343670,6306820
gist1m,variable,3,1,1,2,block_cyclic,variable,rabitq,2,333333,2147483648,869027040,869027040,16384,0,0,2666672,866343984,9763722000,2003860,1346040,6306756
gist1m,variable,3,1,2,2,block_cyclic,variable,rabitq,2,333333,2147483648,866384928,866384928,16384,0,0,2666672,863701872,9725044560,2003240,1347620,6306976
gist1m,variable,3,2,0,2,block_cyclic,variable,rabitq,2,333334,2147483648,866448304,866448304,16384,0,0,2666680,863765240,9731290240,1998560,1343670,6306836
gist1m,variable,3,2,1,2,block_cyclic,variable,rabitq,2,333333,2147483648,869027040,869027040,16384,0,0,2666672,866343984,9763722000,2003860,1346040,6307028
gist1m,variable,3,2,2,2,block_cyclic,variable,rabitq,2,333333,2147483648,866384928,866384928,16384,0,0,2666672,863701872,9725044560,2003240,1347620,6307008
gist1m,variable,3,3,0,2,block_cyclic,variable,rabitq,2,333334,2147483648,866448304,866448304,16384,0,0,2666680,863765240,9731290240,1998560,1343670,6307088
gist1m,variable,3,3,1,2,block_cyclic,variable,rabitq,2,333333,2147483648,869027040,869027040,16384,0,0,2666672,866343984,9763722000,2003860,1346040,6306860
gist1m,variable,3,3,2,2,block_cyclic,variable,rabitq,2,333333,2147483648,866384928,866384928,16384,0,0,2666672,863701872,9725044560,2003240,1347620,6307056
gist1m,variable,3,4,0,2,block_cyclic,variable,rabitq,2,333334,2147483648,866448304,866448304,16384,0,0,2666680,863765240,9731290240,1998560,1343670,6306988
gist1m,variable,3,4,1,2,block_cyclic,variable,rabitq,2,333333,2147483648,869027040,869027040,16384,0,0,2666672,866343984,9763722000,2003860,1346040,6306724
gist1m,variable,3,4,2,2,block_cyclic,variable,rabitq,2,333333,2147483648,866384928,866384928,16384,0,0,2666672,863701872,9725044560,2003240,1347620,6306960
gist1m,variable,5,0,0,2,block_cyclic,variable,rabitq,2,200000,1610612736,521467928,521467928,16384,0,0,1600008,519851536,5898503680,1210040,818310,5782756
gist1m,variable,5,0,1,2,block_cyclic,variable,rabitq,2,200000,1610612736,519500336,519500336,16384,0,0,1600008,517883944,5739069920,1185410,800800,5782352
gist1m,variable,5,0,2,2,block_cyclic,variable,rabitq,2,200000,1610612736,521002760,521002760,16384,0,0,1600008,519386368,5844601360,1202910,811370,5782696
gist1m,variable,5,0,3,2,block_cyclic,variable,rabitq,2,200000,1610612736,519476312,519476312,16384,0,0,1600008,517859920,5873006880,1205640,813850,5782492
gist1m,variable,5,0,4,2,block_cyclic,variable,rabitq,2,200000,1610612736,520445720,520445720,16384,0,0,1600008,518829328,5864874960,1201660,813000,5782436
gist1m,variable,5,1,0,2,block_cyclic,variable,rabitq,2,200000,1610612736,521467928,521467928,16384,0,0,1600008,519851536,5898503680,1210040,818310,5782492
gist1m,variable,5,1,1,2,block_cyclic,variable,rabitq,2,200000,1610612736,519500336,519500336,16384,0,0,1600008,517883944,5739069920,1185410,800800,5782620
gist1m,variable,5,1,2,2,block_cyclic,variable,rabitq,2,200000,1610612736,521002760,521002760,16384,0,0,1600008,519386368,5844601360,1202910,811370,5782564
gist1m,variable,5,1,3,2,block_cyclic,variable,rabitq,2,200000,1610612736,519476312,519476312,16384,0,0,1600008,517859920,5873006880,1205640,813850,5782416
gist1m,variable,5,1,4,2,block_cyclic,variable,rabitq,2,200000,1610612736,520445720,520445720,16384,0,0,1600008,518829328,5864874960,1201660,813000,5782428
gist1m,variable,5,2,0,2,block_cyclic,variable,rabitq,2,200000,1610612736,521467928,521467928,16384,0,0,1600008,519851536,5898503680,1210040,818310,5782460
gist1m,variable,5,2,1,2,block_cyclic,variable,rabitq,2,200000,1610612736,519500336,519500336,16384,0,0,1600008,517883944,5739069920,1185410,800800,5782672
gist1m,variable,5,2,2,2,block_cyclic,variable,rabitq,2,200000,1610612736,521002760,521002760,16384,0,0,1600008,519386368,5844601360,1202910,811370,5782652
gist1m,variable,5,2,3,2,block_cyclic,variable,rabitq,2,200000,1610612736,519476312,519476312,16384,0,0,1600008,517859920,5873006880,1205640,813850,5782596
gist1m,variable,5,2,4,2,block_cyclic,variable,rabitq,2,200000,1610612736,520445720,520445720,16384,0,0,1600008,518829328,5864874960,1201660,813000,5782604
gist1m,variable,5,3,0,2,block_cyclic,variable,rabitq,2,200000,1610612736,521467928,521467928,16384,0,0,1600008,519851536,5898503680,1210040,818310,5782688
gist1m,variable,5,3,1,2,block_cyclic,variable,rabitq,2,200000,1610612736,519500336,519500336,16384,0,0,1600008,517883944,5739069920,1185410,800800,5782708
gist1m,variable,5,3,2,2,block_cyclic,variable,rabitq,2,200000,1610612736,521002760,521002760,16384,0,0,1600008,519386368,5844601360,1202910,811370,5782600
gist1m,variable,5,3,3,2,block_cyclic,variable,rabitq,2,200000,1610612736,519476312,519476312,16384,0,0,1600008,517859920,5873006880,1205640,813850,5782504
gist1m,variable,5,3,4,2,block_cyclic,variable,rabitq,2,200000,1610612736,520445720,520445720,16384,0,0,1600008,518829328,5864874960,1201660,813000,5782500
gist1m,variable,5,4,0,2,block_cyclic,variable,rabitq,2,200000,1610612736,521467928,521467928,16384,0,0,1600008,519851536,5898503680,1210040,818310,5782756
gist1m,variable,5,4,1,2,block_cyclic,variable,rabitq,2,200000,1610612736,519500336,519500336,16384,0,0,1600008,517883944,5739069920,1185410,800800,5782664
gist1m,variable,5,4,2,2,block_cyclic,variable,rabitq,2,200000,1610612736,521002760,521002760,16384,0,0,1600008,519386368,5844601360,1202910,811370,5782708
gist1m,variable,5,4,3,2,block_cyclic,variable,rabitq,2,200000,1610612736,519476312,519476312,16384,0,0,1600008,517859920,5873006880,1205640,813850,5782416
gist1m,variable,5,4,4,2,block_cyclic,variable,rabitq,2,200000,1610612736,520445720,520445720,16384,0,0,1600008,518829328,5864874960,1201660,813000,5782420
