dataset,layout,memory_nodes,repeat,num_vectors,num_queries,threads,coroutines_per_thread,binary_sha256,manifest_cell_fingerprint,campaign_protocol_fingerprint,descriptor_version,policy,record_layout,scoring_code,scoring_bits,recall,qps,query_wall_ms,query_read_bytes,query_read_bytes_per_query,query_read_wrs,query_read_wrs_per_query,query_read_submits,query_read_submits_per_query,read_bytes_gini,read_wrs_gini,read_submits_gini,measured_authoritative_index_bytes,registered_sidecar_bytes,materialized_sidecar_bytes,actual_sidecar_write_bytes,sidecar_bytes_per_vector,sidecar_to_authoritative_ratio,storage_amplification,registered_utilization,cn_peak_rss_kib,mn_peak_rss_sum_kib,mn_peak_rss_max_kib,lavd_build_ms,lavd_build_fetch_ms,lavd_build_parse_ms,lavd_build_rank_ms,lavd_build_encode_ms,lavd_build_metadata_ms,lavd_build_materialize_ms,resident_upper_build_ms,cell_path,query_latency_samples,query_latency_p50_us,query_latency_p95_us,query_latency_p99_us
gist1m,fixed,1,0,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,9b218e4447c3c44e71f0a8694623c29a4dc73e6d27544fe8ef5ab81f47de096f,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2525,3959.174919,41591542960,4159154.296,6005660,600.566,4017330,401.733,0.0,0.0,0.0,4128573128,9663676416,8456016384,8456016384,8456.016384,2.048169215327994,3.048169215327994,0.8750309944152832,8930680,13646816,13646816,26522.638306,5106.588172,191.878063,3.2999999999999996e-05,11895.328482,0.000144,9326.318147,790.018373,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s1_measure_r0,10000,7921.064,8266.649,8417.508
gist1m,fixed,1,1,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,9b218e4447c3c44e71f0a8694623c29a4dc73e6d27544fe8ef5ab81f47de096f,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2516,3974.426842,41591542960,4159154.296,6005660,600.566,4017330,401.733,0.0,0.0,0.0,4128573128,9663676416,8456016384,8456016384,8456.016384,2.048169215327994,3.048169215327994,0.8750309944152832,8930824,13646820,13646820,26611.293377,5133.074146,192.878207,3.2999999999999996e-05,11908.015087,0.000125,9374.888529,801.115744,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s1_measure_r1,10000,7944.451,8269.437,8419.378
gist1m,fixed,1,2,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,9b218e4447c3c44e71f0a8694623c29a4dc73e6d27544fe8ef5ab81f47de096f,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2516,3974.337085,41591542960,4159154.296,6005660,600.566,4017330,401.733,0.0,0.0,0.0,4128573128,9663676416,8456016384,8456016384,8456.016384,2.048169215327994,3.048169215327994,0.8750309944152832,8930756,13646964,13646964,26506.706827,5106.496852,190.53226999999998,4.1e-05,11900.206295,0.000135,9307.046155,800.455784,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s1_measure_r2,10000,7944.7970000000005,8255.776,8458.613
gist1m,fixed,1,3,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,9b218e4447c3c44e71f0a8694623c29a4dc73e6d27544fe8ef5ab81f47de096f,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2514,3976.496587,41591542960,4159154.296,6005660,600.566,4017330,401.733,0.0,0.0,0.0,4128573128,9663676416,8456016384,8456016384,8456.016384,2.048169215327994,3.048169215327994,0.8750309944152832,8930756,13646928,13646928,26448.333583,5113.617979,192.37981,3.2e-05,11918.596254,0.00022899999999999998,9221.329925,796.110996,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s1_measure_r3,10000,7950.987,8297.799,8455.163
gist1m,fixed,1,4,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,9b218e4447c3c44e71f0a8694623c29a4dc73e6d27544fe8ef5ab81f47de096f,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2517,3972.158652,41591542960,4159154.296,6005660,600.566,4017330,401.733,0.0,0.0,0.0,4128573128,9663676416,8456016384,8456016384,8456.016384,2.048169215327994,3.048169215327994,0.8750309944152832,8930928,13647056,13647056,26486.365927,5096.088613,191.24477199999998,4.9999999999999996e-05,11935.281698,0.000124,9261.389192999999,793.9705849999999,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s1_measure_r4,10000,7942.513,8244.183,8418.486
gist1m,fixed,3,0,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,49887cac21375fee71b10fa70f029c5fd8ab704c181d3c918e62c60eb099f04b,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2638,3789.660466,41591542960,4159154.296,6005660,600.566,4037330,403.733,0.0005805039105318475,0.0005883338939156285,0.000652246245249542,4128573160,9663676416,8456049152,8456049152,8456.049152,2.0481771363354015,3.0481771363354015,0.875034385257297,8942908,22066136,7355644,26589.684925,5110.254616,192.243886,3.4e-05,11933.327054,0.00014099999999999998,9351.146721,797.139048,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s3_measure_r0,10000,7568.638,7904.576,8101.108
gist1m,fixed,3,1,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,49887cac21375fee71b10fa70f029c5fd8ab704c181d3c918e62c60eb099f04b,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2640,3787.618359,41591542960,4159154.296,6005660,600.566,4037330,403.733,0.0005805039105318475,0.0005883338939156285,0.000652246245249542,4128573160,9663676416,8456049152,8456049152,8456.049152,2.0481771363354015,3.0481771363354015,0.875034385257297,8942864,22066176,7355500,26455.366149,5109.922336,191.443612,3.5e-05,11869.157676,0.000124,9282.220216,804.845017,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s3_measure_r1,10000,7561.5380000000005,7884.294,8042.912
gist1m,fixed,3,2,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,49887cac21375fee71b10fa70f029c5fd8ab704c181d3c918e62c60eb099f04b,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2642,3784.8682479999998,41591542960,4159154.296,6005660,600.566,4037330,403.733,0.0005805039105318475,0.0005883338939156285,0.000652246245249542,4128573160,9663676416,8456049152,8456049152,8456.049152,2.0481771363354015,3.0481771363354015,0.875034385257297,8942764,22066308,7355608,26508.566104,5096.306923,191.347182,3.9999999999999996e-05,11928.08139,0.000127,9290.254945,801.974027,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s3_measure_r2,10000,7560.975,7884.867,8057.475
gist1m,fixed,3,3,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,49887cac21375fee71b10fa70f029c5fd8ab704c181d3c918e62c60eb099f04b,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2637,3791.814186,41591542960,4159154.296,6005660,600.566,4037330,403.733,0.0005805039105318475,0.0005883338939156285,0.000652246245249542,4128573160,9663676416,8456049152,8456049152,8456.049152,2.0481771363354015,3.0481771363354015,0.875034385257297,8942856,22066356,7355528,26487.054079,5126.373154,192.199421,3.4e-05,11883.049674,0.000461,9283.018707,794.653689,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s3_measure_r3,10000,7570.669,7928.089,8113.718
gist1m,fixed,3,4,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,49887cac21375fee71b10fa70f029c5fd8ab704c181d3c918e62c60eb099f04b,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2640,3786.681047,41591542960,4159154.296,6005660,600.566,4037330,403.733,0.0005805039105318475,0.0005883338939156285,0.000652246245249542,4128573160,9663676416,8456049152,8456049152,8456.049152,2.0481771363354015,3.0481771363354015,0.875034385257297,8942784,22066536,7355596,26489.186916,5098.46583,192.560175,3.2999999999999996e-05,11910.363802,0.000149,9285.345659,790.151891,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s3_measure_r4,10000,7558.852,7897.03,8058.058
gist1m,fixed,5,0,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,588234c2e48202e7576a3429388c21fefd8cc7c94aadb1e3b8bacfa10088bb94,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2644,3781.4889949999997,41591542960,4159154.296,6005660,600.566,4057330,405.733,0.003587012295828517,0.0035459882843850636,0.003697012567378054,4128573192,10737418240,8456081920,8456081920,8456.08192,2.0481850573426867,3.0481850573426867,0.7875339984893799,8954740,31534336,6307004,26576.404655,5096.871261,192.947343,3.9999999999999996e-05,11849.057553999999,0.00017199999999999998,9435.1026,814.2693869999999,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s5_measure_r0,10000,7553.917,7881.803,8021.985000000001
gist1m,fixed,5,1,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,588234c2e48202e7576a3429388c21fefd8cc7c94aadb1e3b8bacfa10088bb94,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2645,3780.0031879999997,41591542960,4159154.296,6005660,600.566,4057330,405.733,0.003587012295828517,0.0035459882843850636,0.003697012567378054,4128573192,10737418240,8456081920,8456081920,8456.08192,2.0481850573426867,3.0481850573426867,0.7875339984893799,8955008,31534392,6307044,26433.785667,5105.901742,192.46049399999998,3.4e-05,11922.09563,0.00026199999999999997,9210.931701,806.8195049999999,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s5_measure_r1,10000,7549.868,7898.62,8072.459
gist1m,fixed,5,2,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,588234c2e48202e7576a3429388c21fefd8cc7c94aadb1e3b8bacfa10088bb94,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2643,3783.3563489999997,41591542960,4159154.296,6005660,600.566,4057330,405.733,0.003587012295828517,0.0035459882843850636,0.003697012567378054,4128573192,10737418240,8456081920,8456081920,8456.08192,2.0481850573426867,3.0481850573426867,0.7875339984893799,8954756,31534328,6306996,26418.156359,5084.932639,192.978998,3.9e-05,11908.311407,0.000149,9229.441441,810.9400529999999,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s5_measure_r2,10000,7555.477,7915.218,8077.684
gist1m,fixed,5,3,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,588234c2e48202e7576a3429388c21fefd8cc7c94aadb1e3b8bacfa10088bb94,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2645,3779.832319,41591542960,4159154.296,6005660,600.566,4057330,405.733,0.003587012295828517,0.0035459882843850636,0.003697012567378054,4128573192,10737418240,8456081920,8456081920,8456.08192,2.0481850573426867,3.0481850573426867,0.7875339984893799,8955000,31534724,6307076,26532.036015,5107.124097,192.24323199999998,3.4e-05,11932.814827,0.00023099999999999998,9297.461661,799.3968749999999,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s5_measure_r3,10000,7545.193,7896.5070000000005,8054.917
gist1m,fixed,5,4,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,588234c2e48202e7576a3429388c21fefd8cc7c94aadb1e3b8bacfa10088bb94,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,2,block_cyclic,fixed,rabitq,2,0.9257,2644,3781.8712809999997,41591542960,4159154.296,6005660,600.566,4057330,405.733,0.003587012295828517,0.0035459882843850636,0.003697012567378054,4128573192,10737418240,8456081920,8456081920,8456.08192,2.0481850573426867,3.0481850573426867,0.7875339984893799,8954916,31534272,6306980,26516.977153,5082.83715,191.81805699999998,3.6e-05,11924.323266,0.000156,9315.575609,797.035272,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_fixed_s5_measure_r4,10000,7546.903,7887.635,8120.642
gist1m,legacy,1,0,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,4f84d9819bab3394ad24c7914035fb52a03f9cd4b18caf468bf30885c830edb6,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,0.9257,2523,3962.644974,41591542960,4159154.296,6005660,600.566,4017330,401.733,0.0,0.0,0.0,4128573128,9663676416,8456016384,8456016384,8456.016384,2.048169215327994,3.048169215327994,0.8750309944152832,8930708,13646872,13646872,26379.745184,5099.537289,191.362471,3.5e-05,11826.953212,2.718766,9259.143118,798.039857,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_legacy_s1_measure_r0,10000,7917.658,8263.254,8460.375
gist1m,legacy,1,1,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,4f84d9819bab3394ad24c7914035fb52a03f9cd4b18caf468bf30885c830edb6,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,0.9257,2530,3952.32914,41591542960,4159154.296,6005660,600.566,4017330,401.733,0.0,0.0,0.0,4128573128,9663676416,8456016384,8456016384,8456.016384,2.048169215327994,3.048169215327994,0.8750309944152832,8930828,13646868,13646868,26307.609468,5055.644091,191.109424,4.2999999999999995e-05,11904.680497,2.616091,9153.529912,791.186435,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_legacy_s1_measure_r1,10000,7899.482,8206.809,8357.98
gist1m,legacy,1,2,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,4f84d9819bab3394ad24c7914035fb52a03f9cd4b18caf468bf30885c830edb6,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,0.9257,2523,3963.2589319999997,41591542960,4159154.296,6005660,600.566,4017330,401.733,0.0,0.0,0.0,4128573128,9663676416,8456016384,8456016384,8456.016384,2.048169215327994,3.048169215327994,0.8750309944152832,8930752,13646760,13646760,26424.220742,5050.208756,191.472714,2.9999999999999997e-05,11964.403617,2.562054,9215.545665,783.801512,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_legacy_s1_measure_r2,10000,7924.148,8234.99,8392.207
gist1m,legacy,1,3,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,4f84d9819bab3394ad24c7914035fb52a03f9cd4b18caf468bf30885c830edb6,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,0.9257,2516,3974.322307,41591542960,4159154.296,6005660,600.566,4017330,401.733,0.0,0.0,0.0,4128573128,9663676416,8456016384,8456016384,8456.016384,2.048169215327994,3.048169215327994,0.8750309944152832,8930784,13646888,13646888,26324.405176,5063.650033,191.77805999999998,3.2e-05,11867.99047,2.552024,9198.407048,792.450395,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_legacy_s1_measure_r3,10000,7947.6,8250.866,8439.598
gist1m,legacy,1,4,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,4f84d9819bab3394ad24c7914035fb52a03f9cd4b18caf468bf30885c830edb6,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,0.9257,2513,3978.799412,41591542960,4159154.296,6005660,600.566,4017330,401.733,0.0,0.0,0.0,4128573128,9663676416,8456016384,8456016384,8456.016384,2.048169215327994,3.048169215327994,0.8750309944152832,8930824,13646980,13646980,26493.567131,5115.375625,191.81340799999998,3.7e-05,11925.721395,2.443565,9258.183673,794.227259,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_legacy_s1_measure_r4,10000,7954.323,8270.368,8476.678
gist1m,legacy,3,0,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,0a5e50cf7d7c1c6a1c2d84eb34945e9f5429a43f7893b3d562ee0157381d9231,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,0.9257,2628,3804.0069320000002,41591542960,4159154.296,6005660,600.566,4037330,403.733,0.0005805039105318475,0.0005883338939156285,0.000652246245249542,4128573160,28991029248,25368023784,8456016384,25368.023784,6.144501453863058,7.144501453863058,0.8750301193859842,8942820,40940516,13646952,26497.456568,5076.125488,194.198039,3.4e-05,11914.199711,2.31216,9310.583565,794.746223,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_legacy_s3_measure_r0,10000,7601.759,7914.753000000001,8072.053
gist1m,legacy,3,1,1000000,10000,10,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,0a5e50cf7d7c1c6a1c2d84eb34945e9f5429a43f7893b3d562ee0157381d9231,f66e56420327d3cfa9485cc95a7753b7883a7a046aceda4b8a811475de221080,0,authoritative_owner_global_slot,legacy_sparse_fixed,rabitq,2,0.9257,2635,3794.890161,41591542960,4159154.296,6005660,600.566,4037330,403.733,0.0005805039105318475,0.0005883338939156285,0.000652246245249542,4128573160,28991029248,25368023784,8456016384,25368.023784,6.144501453863058,7.144501453863058,0.8750301193859842,8942780,40940408,13646876,26627.385285,5114.332918,191.860111,4.2999999999999995e-05,11964.459343,2.374222,9354.321039,802.890633,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/resource_ledger_gist_final_v4_20260714/raw/gist1m_legacy_s3_measure_r1,10000,7579.953,7900.41,8059.527
